id,nume,lat,lng
298,Campina,45.1369957,25.742141
299,Comarnic,45.2488709,25.6408029
300,Ghiosesti,45.2438113,25.6201723
301,Podu Lung,45.2270816,25.6534052
302,Poiana,45.2335929,25.641912
303,Posada,45.2631624,25.6229581
304,Mizil,44.9981642,26.441765
305,Fefelei,45.0144592,26.4390666
306,Plopeni,45.0650725,25.9822141
307,Sinaia,45.3310429,25.5623504
308,Slanic,45.2275045,25.9365314
309,Grosani,45.2507311,25.9492162
310,Prajani,45.2056875,25.9489964
311,Urlati,44.9894922,26.2346217
312,Arionestii Noi,44.994118,26.2183754
313,Arionestii Vechi,44.98853,26.2207955
314,Cherba,44.9972704,26.2903789
315,Jercalai,45.0168722,26.2184922
316,Maruntis,44.995072,26.277793
317,Orzoaia de Jos,45.0055607,26.2276661
318,Orzoaia de Sus,44.999971,26.2300861
319,Schiau (Urlati),44.9784918,26.2336856
320,Ulmi,45.0891906,26.0829313
321,Valea Bobului,45.0090333,26.2325747
322,Valea Crangului,44.9962126,26.2630537
323,Valea Mieilor,44.9729926,26.2332177
324,Valea Nucetului,45.0090964,26.2589103
325,Valea Pietrei,45.0151701,26.2292056
326,Valea Seman,45.0110447,26.2965488
327,Valea Urloii,45.010791,26.2824059
328,Valenii de Munte,45.1912847,26.0440169
329,Adunati,45.1832782,25.6015293
330,Ocina de Jos,45.1678211,25.6113076
331,Ocina de Sus,45.1925084,25.5916786
332,Albesti-Paleologu,44.9524853,26.2278592
333,Albesti-Muru,44.940006,26.2076535
334,Cioceni,44.9067866,26.2817426
335,Vadu Parului,44.9296289,26.2093043
336,Alunis,45.2033237,25.8556264
337,Ostrovu,45.2000777,25.899969
338,Apostolache,45.133333,26.266667
339,Buzota,45.1173763,26.2406042
340,Marlogea,45.1280886,26.2859866
341,Udresti,45.1153474,26.2843452
342,Valea Cricovului,45.1106773,26.244933
343,Aricestii Rahtivani,44.95,25.833333
344,Buda (Aricestii Rahtivani),44.9636408,25.9199724
345,Nedelea,44.9652638,25.8182894
346,Stoenesti,44.9236478,25.8565724
